机场代码,机场全称,机场简称,英文名,所属城市,城市三字码,所属省州,所属国家/地区,机场类型
GDN,莱赫瓦文萨机场,莱赫瓦文萨机场,Lech Walesa Airport,格但斯克,GDN,滨海省,波兰,机场
PFT,琶洲港,琶洲港,pazhougang,广州,CAN,广东省,中国,非海关机场
QNS,卡诺阿斯机场,卡诺阿斯机场,Campo Nossa Senhora de Fatima,卡诺阿斯,QNS,南里奥格兰德,巴西,机场
MDC,萨姆拉图兰吉机场,萨姆拉图兰吉机场,Sam Ratulangi Airport,美娜多,MDC,北苏拉威西,印度尼西亚,机场
KHG,喀什徕宁国际机场,喀什徕宁,Kashi Laining International Airport,喀什,KHG,新疆维吾尔自治区,中国,机场
SZH,朔州滋润机场,滋润机场,Shuozhou Zirun Airport,朔州,SZH,山西省,中国,机场
YCU,盐湖国际机场,盐湖机场,Yanhu Airport,运城,YCU,山西省,中国,机场
HZI,港珠澳大桥珠海口岸,港珠澳大桥珠海口岸,gangzhuaodaqiaozhuhaikouan,珠海,ZUH,广东省,中国,非海关机场
BFS,贝尔法斯特国际机场,贝尔法斯特机场,Belfast International Airport,贝尔法斯特,BFS,北爱尔兰,英国,机场
AAP,普拉诺托国际机场,普拉诺托国际机场,Apt Pranoto Apt,三马林达,SRI,东加里曼丹,印度尼西亚,非海关机场
GTR,金三角地区机场,金三角机场,Golden Triangle Regional Airport,哥伦布,UBS,密西西比州,美国,机场
GSV,加加林国际机场,加加林机场,Gagarin International Airport,萨拉托夫,RTW,萨拉托夫,俄罗斯,机场
CJS,亚伯拉罕冈萨雷斯国际机场,亚伯拉罕冈萨雷斯机场,Abraham Gonzalez International Airport,华雷斯城亚伯拉罕冈萨雷斯,CJS,奇瓦瓦,墨西哥,机场
TQO,图卢姆费利佩卡里略波多机场,图卢姆费利佩机场,Tulum Felipe Carrillo Puerto Airport,图卢姆,TUY,金塔纳罗奥,墨西哥,机场
XNT,褡裢机场,褡裢机场,Dalian Airport,邢台,XNT,河北省,中国,机场
JJN,泉州晋江国际机场,泉州机场,QUANZHOU JINJIANG INTERNATIONAL AIRPORT,泉州,JJN,福建省,中国,机场
RMO,基希讷乌国际机场,基希讷乌机场,Chisinau International Airport,基希讷乌,RMO,基希讷乌,摩尔多瓦,机场
FCO,菲乌米奇诺机场,菲乌米奇诺机场,Fiumicino Airport,罗马,ROM,拉齐奥,意大利,机场
CIA,洽米皮诺机场,洽米皮诺机场,Ciampino Airport,罗马,ROM,拉齐奥,意大利,机场
DLU,凤仪机场,大理机场,Fengyi Airport,大理,DLU,云南省,中国,机场
